theme_name,song_name,start_timestamp,end_timestamp,start_sec,end_sec,length_sec,song_number,total_start_sec,song_url,lyrics
none,,,,0,2,2,1,0,,
How Does,Alexander Hamilton,0:00:03,0:00:18,3,18,16,1,3,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3,
none,,,,19,62,43,1,19,,
Alexander Hamilton,Alexander Hamilton,0:01:03,0:01:32,63,92,30,1,63,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3,
none,,,,93,141,48,1,93,,
Alexander Hamilton,Alexander Hamilton,0:02:22,0:03:56,142,236,95,1,142,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3,
none,,,,0,12,12,2,236,,
"Aaron Burr, Sir","Aaron Burr, Sir",0:00:13,0:00:36,13,36,24,2,249,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3,
none,,,,37,57,20,2,273,,
"Talk Less, Smile More","Aaron Burr, Sir",0:00:58,0:01:30,58,90,33,2,294,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3,
none,,,,91,136,45,2,327,,
Stand For Nothing,"Aaron Burr, Sir",0:02:17,0:02:31,137,151,15,2,373,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3,
none,,,,151,156,5,2,387,,
My Shot,My Shot,0:00:00,0:00:09,0,9,10,3,392,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3,
none,,,,10,9,-1,3,402,,
King's College,My Shot,0:00:10,0:00:31,10,31,22,3,402,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3,
none,,,,32,72,40,3,424,,
My Shot,My Shot,0:01:13,0:02:08,73,128,56,3,465,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3,
none,,,,129,168,39,3,521,,
My Shot,My Shot,0:02:49,0:03:50,169,230,62,3,561,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3,
none,,,,231,230,-1,3,623,,
Imagine Death,My Shot,0:03:51,0:04:31,231,271,41,3,623,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3,
none,,,,272,295,23,3,664,,
My Shot,My Shot,0:04:56,0:05:33,296,333,38,3,688,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3,
Story of Tonight,Story of Tonight,0:00:00,0:01:31,0,91,92,4,725,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Story_Of_Tonight.mp3,
none,,,,0,20,20,5,816,,
The Schuyler Sisters,The Schuyler Sisters,0:00:21,0:00:30,21,30,10,5,504,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3,
none,,,,31,39,8,5,847,,
Look Around,The Schuyler Sisters,0:00:40,0:00:47,40,47,8,5,523,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3,
none,,,,48,47,-1,5,864,,
The Schuyler Sisters,The Schuyler Sisters,0:00:48,0:00:49,48,49,2,5,531,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3,
Look Around,The Schuyler Sisters,0:00:49,0:01:05,49,65,17,5,532,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3,
none,,,,66,114,48,5,882,,
Look Around,The Schuyler Sisters,0:01:55,0:03:06,115,186,72,5,598,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3,
The Schuyler Sisters,The Schuyler Sisters,0:02:42,0:02:52,162,172,11,5,645,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3,
none,,,,172,186,14,5,988,,
none,,,,0,112,112,6,1002,,
King George,You'll Be Back,0:00:00,0:03:28,0,208,209,7,781,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Youll_Be_Back.mp3,
none,,,,0,51,51,8,1322,,
Right Hand Man,Right Hand Man,0:00:52,0:01:17,52,77,26,8,1041,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Right_Hand_Man.mp3,
none,,,,78,112,34,8,1400,,
Right Hand Man,Right Hand Man,0:01:53,0:02:06,113,126,14,8,1102,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Right_Hand_Man.mp3,
none,,,,127,175,48,8,1449,,
"Aaron Burr, Sir",Right Hand Man,0:02:56,0:03:57,176,237,62,8,1165,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Right_Hand_Man.mp3,Your Excellency Sir... I don't think so
none,,,,238,262,24,8,1560,,
My Shot,Right Hand Man,0:04:23,0:04:34,263,274,12,8,1252,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Right_Hand_Man.mp3,
none,,,,274,321,47,8,1596,,
none,,,,0,1,1,9,1643,,
How Does,A Winter's Ball,0:00:02,0:00:29,2,29,28,9,1312,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/A_Winters_Ball.mp3,
none,,,,29,70,41,9,1672,,
none,,,,0,9,9,10,1713,,
Helpless,Helpless,0:00:10,0:00:25,10,25,16,10,1390,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Helpless.mp3,
none,,,,26,47,21,10,1739,,
Helpless,Helpless,0:00:48,0:01:24,48,84,37,10,1428,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Helpless.mp3,
none,,,,85,138,53,10,1798,,
Helpless,Helpless,0:02:19,0:02:43,139,163,25,10,1519,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Helpless.mp3,
none,,,,164,192,28,10,1877,,
Helpless,Helpless,0:03:13,0:03:45,193,225,33,10,1573,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Helpless.mp3,
Alexander Hamilton,Helpless,0:03:45,0:04:09,225,249,25,10,1605,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Helpless.mp3,
none,,,,249,250,1,10,1962,,
none,,,,0,29,29,11,1963,,
Satisfied,Satisfied,0:00:30,0:00:45,30,45,16,11,1660,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
none,,,,46,47,1,11,2009,,
Helpless,Satisfied,0:00:48,0:00:55,48,55,8,11,1678,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
none,,,,56,114,58,11,2019,,
The Schuyler Sisters,Satisfied,0:01:55,0:01:57,115,117,3,11,1745,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
Alexander Hamilton,Satisfied,0:01:57,0:02:09,117,129,13,11,1747,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
none,,,,130,156,26,11,2093,,
Helpless,Satisfied,0:02:37,0:02:50,157,170,14,11,1787,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
none,,,,171,225,54,11,2134,,
Satisfied,Satisfied,0:03:46,0:04:03,226,243,18,11,1856,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
none,,,,244,291,47,11,2207,,
Satisfied,Satisfied,0:04:52,0:05:29,292,329,38,11,1922,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3,
